tconst,originalTitle,weightedAverage,soup
tt0026174,Captain Blood,7.339142190396953,action adventure history nm0002031 nm0001224 nm0000014 nm0041172 nm0001651 nm0018717
tt0026529,The Informer,6.897896421992158,crime drama nm0000406 nm0572142 nm0029456 nm0288003 nm0334375 nm0285922
tt0026663,Mad Love,6.729678666486669,horror romance sci-fi nm0005713 nm0000048 nm0236903 nm0166972 nm0372384 nm0352774
tt0026685,Mark of the Vampire,6.18897989348091,horror mystery nm0115218 nm0000859 nm0019922 nm0000509 nm0041172 nm0380965
tt0026752,Mutiny on the Bounty,7.361722778073072,adventure biography drama nm0515979 nm0001452 nm0000022 nm0867144 nm0612743 nm0703600
tt0026778,A Night at the Opera,7.595936498119635,comedy music musical nm0939992 nm0332539 nm0000050 nm0555597 nm0555617 nm0137634 nm0427452
tt0026912,The Raven,6.532570294551953,crime horror nm0484645 nm0000472 nm0000509 nm0560091 nm0912115
tt0027075,A Tale of Two Cities,7.081841639772472,drama history romance nm0176699 nm0502752 nm0172903 nm0019922 nm0646829 nm0654239 nm0001651
tt0027125,Top Hat,7.403875207523366,comedy musical romance nm0762263 nm0000001 nm0001677 nm0002143 nm0722424 nm0089314
tt0027194,Werewolf of London,6.246417641006993,drama fantasy horror nm0908234 nm0401434 nm0645941 nm0387753 nm0560091 nm0335517
tt0027260,After the Thin Man,7.184527655596267,comedy crime mystery nm0886754 nm0001635 nm0001485 nm0000071 nm0484748 nm0130407
tt0027438,The Charge of the Light Brigade,6.607416957153202,action adventure romance nm0002031 nm0001224 nm0000014 nm0461549 nm0827261 nm0115558
tt0027532,Dodsworth,7.199202722908046,drama romance nm0943758 nm0404158 nm0154183 nm0510134 nm0000802 nm0000057
tt0027545,Dracula's Daughter,6.252643745696066,drama fantasy horror nm0385171 nm0472603 nm0390192 nm0161451 nm0888000 nm0256298
tt0027652,Fury,7.366627914608814,crime drama film-noir nm0000485 nm0796662 nm0000075 nm0008496 nm0127677 nm0254818
tt0027698,The Great Ziegfeld,6.448780039487638,drama musical nm0502752 nm0001635 nm0001485 nm0707023 nm0604656 nm0108511
tt0027884,Libeled Lady,7.217076573736604,comedy romance nm0176699 nm0001318 nm0001635 nm0001485 nm0000075 nm0175369
